"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out14/dstat_out_upload.csv -D vdb",,,,"Date:","13 Apr 2024 19:39:38 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,13-04 19:39:38
0,1.000,0,3.998,13-04 19:39:39
0,0,0,0,13-04 19:39:40
0,0,0,0,13-04 19:39:41
0,0,0,0,13-04 19:39:42
0,9.001,0,1576.096,13-04 19:39:43
0,220.993,0,134147.675,13-04 19:39:44
0,0,0,0,13-04 19:39:45
0,0,0,0,13-04 19:39:46
0,0,0,0,13-04 19:39:47
0,220.962,0,132421.293,13-04 19:39:48
0,192.026,0,196618.900,13-04 19:39:49
0,480.014,0,491562.423,13-04 19:39:50
0,38.999,0,39922.586,13-04 19:39:51
0,0,0,0,13-04 19:39:52
0,108.000,0,108855.653,13-04 19:39:53
0,484.972,0,498531.599,13-04 19:39:54
1.000,507.029,4.000,519073.646,13-04 19:39:55
0,181.991,0,199670.572,13-04 19:39:56
0,0,0,0,13-04 19:39:57
0,2.000,0,84.000,13-04 19:39:58
0,263.997,0,272293.192,13-04 19:39:59
0,410.004,0,477276.450,13-04 19:40:00
0,127.001,0,139377.147,13-04 19:40:01
0,0,0,0,13-04 19:40:02
0,1.999,0,59.982,13-04 19:40:03
0,3.000,0,3840.063,13-04 19:40:04
0,189.989,0,217366.996,13-04 19:40:05
0,200.004,0,233264.601,13-04 19:40:06
0,427.003,0,500439.142,13-04 19:40:07
0,230.067,0,265877.786,13-04 19:40:08
0,0,0,0,13-04 19:40:09
0,0,0,0,13-04 19:40:10
0,335.000,0,393472.357,13-04 19:40:11
0,465.998,0,545022.240,13-04 19:40:12
0,297.005,0,344649.555,13-04 19:40:13
0,0,0,0,13-04 19:40:14
0,0,0,0,13-04 19:40:15
0,48.999,0,53851.147,13-04 19:40:16
1.000,390.025,4.000,456221.549,13-04 19:40:17
0,482.929,0,562665.266,13-04 19:40:18
0,68.012,0,79373.574,13-04 19:40:19
0,0,0,0,13-04 19:40:20
0,0,0,0,13-04 19:40:21
0,16.000,0,15904.077,13-04 19:40:22
0,377.979,0,438807.129,13-04 19:40:23
0,0,0,0,13-04 19:40:24
0,349.022,0,409113.231,13-04 19:40:25
3.000,367.972,11.999,428179.443,13-04 19:40:26
0,0,0,0,13-04 19:40:27
1.000,173.012,4.000,200274.189,13-04 19:40:28
0,443.982,0,517354.706,13-04 19:40:29
0,308.994,0,326906.110,13-04 19:40:30
0,0,0,0,13-04 19:40:31
0,148.000,0,172032.211,13-04 19:40:32
0,2.000,0,64.002,13-04 19:40:33
0,0,0,0,13-04 19:40:34
0,41.999,0,40407.368,13-04 19:40:35
1.000,411.999,4.000,455310.785,13-04 19:40:36
0,0,0,0,13-04 19:40:37
0,329.995,0,382845.647,13-04 19:40:38
0,294.007,0,340208.411,13-04 19:40:39
0,0,0,0,13-04 19:40:40
0,31.057,0,36419.122,13-04 19:40:41
0,406.897,0,475016.141,13-04 19:40:42
1.000,486.018,4.000,463957.639,13-04 19:40:43
0,294.975,0,298242.906,13-04 19:40:44
0,559.920,0,498432.888,13-04 19:40:45
0,145.030,0,148182.704,13-04 19:40:46
0,0,0,0,13-04 19:40:47
0,1.999,0,63.983,13-04 19:40:48
0,6.000,0,116.002,13-04 19:40:49
0,162.995,0,163834.881,13-04 19:40:50
0,160.002,0,176130.119,13-04 19:40:51
0,90.986,0,95949.269,13-04 19:40:52
0,212.036,0,226189.950,13-04 19:40:53
0,166.988,0,181746.696,13-04 19:40:54
0,162.002,0,172034.187,13-04 19:40:55
1.000,168.008,4.000,182972.681,13-04 19:40:56
0,429.011,0,480599.838,13-04 19:40:57
0,2.000,0,67.999,13-04 19:40:58
1.000,306.000,4.000,323584.465,13-04 19:40:59
2.001,453.158,8.003,513202.517,13-04 19:41:00
0,371.853,0,421721.638,13-04 19:41:01
1.000,86.030,4.001,99362.373,13-04 19:41:02
1.000,208.928,3.999,220300.337,13-04 19:41:03
0,0,0,0,13-04 19:41:04
0,0,0,0,13-04 19:41:05
0,0,0,0,13-04 19:41:06
1.000,324.987,4.000,379121.087,13-04 19:41:07
0,106.037,0,120669.868,13-04 19:41:08
0,308.900,0,358283.905,13-04 19:41:09
0,271.997,0,316412.033,13-04 19:41:10
0,0,0,0,13-04 19:41:11
0,145.997,0,170048.810,13-04 19:41:12
1.000,439.002,4.000,508426.510,13-04 19:41:13
0,452.010,0,526859.304,13-04 19:41:14
19.000,133.998,3691.934,155645.222,13-04 19:41:15
496.981,0,63613.590,0,13-04 19:41:16
1108.347,0,143000.807,0,13-04 19:41:17
1094.316,1.999,138941.101,91.942,13-04 19:41:18
1026.045,0,131057.802,0,13-04 19:41:19
1135.303,106.028,145318.798,125217.431,13-04 19:41:20
834.007,275.002,106752.878,320198.633,13-04 19:41:21
1219.436,0,156087.765,0,13-04 19:41:22
1181.645,84.974,151250.498,97570.647,13-04 19:41:23
912.468,342.800,116795.966,385455.470,13-04 19:41:24
1120.598,237.126,143436.490,263888.723,13-04 19:41:25
1138.460,31.013,145722.845,36622.789,13-04 19:41:26
919.732,339.901,117725.644,394380.908,13-04 19:41:27
899.939,337.977,115192.205,378178.408,13-04 19:41:28
1237.352,110.031,158252.967,126627.981,13-04 19:41:29
1263.728,2.999,161245.270,2175.531,13-04 19:41:30
1252.320,124.032,159400.692,145317.097,13-04 19:41:31
1330.863,0,170222.555,0,13-04 19:41:32
1370.736,2.001,175326.091,44.024,13-04 19:41:33
1362.104,0,174349.273,0,13-04 19:41:34
1366.351,7.002,174892.903,8834.268,13-04 19:41:35
1080.463,242.879,138299.295,283890.968,13-04 19:41:36
1178.029,158.004,150787.761,182276.547,13-04 19:41:37
1332.264,2.000,170401.768,52.010,13-04 19:41:38
1377.983,217.997,176257.794,184769.687,13-04 19:41:39
1097.973,381.991,140168.539,397490.186,13-04 19:41:40
1261.000,209.000,161279.960,236159.942,13-04 19:41:41
1421.027,74.001,181635.404,47744.895,13-04 19:41:42
953.011,301.003,120981.406,288983.358,13-04 19:41:43
769.976,338.989,98408.944,350213.125,13-04 19:41:44
1068.012,367.004,136705.536,406516.568,13-04 19:41:45
1023.993,75.000,131071.137,84367.444,13-04 19:41:46
1147.948,105.995,146937.403,119930.615,13-04 19:41:47
1216.423,2.001,155702.126,64.022,13-04 19:41:48
1220.636,0,156241.443,0,13-04 19:41:49
1389.939,0,176888.178,0,13-04 19:41:50
1204.787,0,153956.771,0,13-04 19:41:51
1200.225,98.018,153500.786,106515.975,13-04 19:41:52
961.040,301.012,123013.080,345738.277,13-04 19:41:53
1076.907,323.972,137844.123,365964.467,13-04 19:41:54
1353.997,0,173311.626,0,13-04 19:41:55
1386.085,103.006,177418.880,114183.002,13-04 19:41:56
1193.963,271.992,152827.267,303606.597,13-04 19:41:57
1436.541,1.999,183749.288,59.981,13-04 19:41:58
1495.524,0,191042.700,0,13-04 19:41:59
1484.484,42.985,189886.002,48495.145,13-04 19:42:00
1135.646,308.904,144466.908,355089.167,13-04 19:42:01
1523.956,38.999,193786.377,42750.759,13-04 19:42:02
1204.410,228.078,153140.120,263053.529,13-04 19:42:03
1100.641,378.877,140114.362,415096.793,13-04 19:42:04
1454.016,96.001,186114.075,106625.189,13-04 19:42:05
1385.939,40.998,177400.216,46593.956,13-04 19:42:06
860.037,377.016,110084.772,419454.182,13-04 19:42:07
964.025,346.009,123395.173,376417.679,13-04 19:42:08
1338.897,154.988,171378.787,175222.491,13-04 19:42:09
1367.094,123.008,174860.057,139273.604,13-04 19:42:10
1481.886,0,189681.387,0,13-04 19:42:11
1471.108,0,188301.852,0,13-04 19:42:12
1511.942,2.000,193528.537,39.998,13-04 19:42:13
1509.538,11.004,193092.798,8815.141,13-04 19:42:14
1075.672,309.905,137686.008,288591.984,13-04 19:42:15
1242.926,169.990,158966.590,132580.152,13-04 19:42:16
1146.026,49.001,145155.326,45757.048,13-04 19:42:17
1002.009,323.003,126337.146,324854.947,13-04 19:42:18
1223.377,252.078,155952.040,265737.859,13-04 19:42:19
947.666,173.939,121301.259,195259.199,13-04 19:42:20
1097.241,100.022,140446.797,94472.716,13-04 19:42:21
1137.805,249.957,145639.063,266390.387,13-04 19:42:22
1019.034,285.009,130436.329,309010.255,13-04 19:42:23
1185.917,350.975,151797.362,393064.453,13-04 19:42:24
