"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out26/dstat_out_wf.csv -D vdb",,,,"Date:","14 Apr 2024 04:05:00 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,14-04 04:05:00
0.999,0,3.996,0,14-04 04:05:01
0,0,0,0,14-04 04:05:02
233.999,0,12691.959,0,14-04 04:05:03
0,0,0,0,14-04 04:05:04
0,0,0,0,14-04 04:05:05
0,0,0,0,14-04 04:05:06
0,2.000,0,119.999,14-04 04:05:07
0,0,0,0,14-04 04:05:08
0,0,0,0,14-04 04:05:09
0,0,0,0,14-04 04:05:10
0,0,0,0,14-04 04:05:11
0,0,0,0,14-04 04:05:12
0,0,0,0,14-04 04:05:13
0,0,0,0,14-04 04:05:14
0,0,0,0,14-04 04:05:15
0,0,0,0,14-04 04:05:16
0,0,0,0,14-04 04:05:17
0,0,0,0,14-04 04:05:18
0,0,0,0,14-04 04:05:19
0,0,0,0,14-04 04:05:20
0,0,0,0,14-04 04:05:21
0,0,0,0,14-04 04:05:22
0,0,0,0,14-04 04:05:23
0,0,0,0,14-04 04:05:24
0,0,0,0,14-04 04:05:25
0,32.087,0,790.134,14-04 04:05:26
0,0,0,0,14-04 04:05:27
0,0,0,0,14-04 04:05:28
0,0,0,0,14-04 04:05:29
0,0,0,0,14-04 04:05:30
0,0,0,0,14-04 04:05:31
0,5.000,0,288.018,14-04 04:05:32
0,0,0,0,14-04 04:05:33
0,0,0,0,14-04 04:05:34
0,0,0,0,14-04 04:05:35
56.004,0,6624.469,0,14-04 04:05:36
78.003,0,9984.335,0,14-04 04:05:37
92.001,4.000,11776.130,48.001,14-04 04:05:38
107.000,0,13567.945,0,14-04 04:05:39
97.001,2.000,12288.113,12.000,14-04 04:05:40
90.999,0,11519.896,0,14-04 04:05:41
87.999,0,11263.921,0,14-04 04:05:42
99.000,2.000,12543.986,24.000,14-04 04:05:43
99.992,0,12670.992,0,14-04 04:05:44
78.005,0,9856.643,0,14-04 04:05:45
136.996,0,17407.546,0,14-04 04:05:46
113.002,0,14336.256,0,14-04 04:05:47
85.000,3.000,10879.995,16.000,14-04 04:05:48
124.004,0,15744.488,0,14-04 04:05:49
81.000,0,10240.056,0,14-04 04:05:50
24.002,0,3072.195,0,14-04 04:05:51
57.999,0,7423.870,0,14-04 04:05:52
101.001,0,12800.124,0,14-04 04:05:53
116.999,0,14847.897,0,14-04 04:05:54
103.001,0,13056.121,0,14-04 04:05:55
97.000,0,12288.050,0,14-04 04:05:56
92.000,0,11776.029,0,14-04 04:05:57
92.998,0,11775.789,0,14-04 04:05:58
103.000,0,13055.968,0,14-04 04:05:59
72.001,0,9216.072,0,14-04 04:06:00
83.001,0,10496.091,0,14-04 04:06:01
112.997,0,14335.633,0,14-04 04:06:02
107.000,0,13568.016,0,14-04 04:06:03
77.985,0,9982.126,0,14-04 04:06:04
51.010,0,6401.299,0,14-04 04:06:05
78.000,0,9984.055,0,14-04 04:06:06
85.000,0,10751.970,0,14-04 04:06:07
81.000,0,10240.023,0,14-04 04:06:08
83.999,0,10751.935,0,14-04 04:06:09
102.000,0,12800.038,0,14-04 04:06:10
55.000,0,6912.032,0,14-04 04:06:11
106.000,0,13567.982,0,14-04 04:06:12
93.000,0,11776.032,0,14-04 04:06:13
60.000,0,7423.975,0,14-04 04:06:14
74.000,0,9471.994,0,14-04 04:06:15
91.000,0,11519.937,0,14-04 04:06:16
80.001,0,10240.089,0,14-04 04:06:17
64.000,0,7935.971,0,14-04 04:06:18
78.000,0,9727.991,0,14-04 04:06:19
76.001,0,9728.077,0,14-04 04:06:20
65.999,0,8191.872,0,14-04 04:06:21
84.000,0,10752.062,0,14-04 04:06:22
109.001,0,13824.103,0,14-04 04:06:23
86.000,0,10751.991,0,14-04 04:06:24
95.999,0,12159.930,0,14-04 04:06:25
85.000,0,10880.054,0,14-04 04:06:26
62.000,0,7679.973,0,14-04 04:06:27
94.000,0,12031.961,0,14-04 04:06:28
57.000,0,7168.054,0,14-04 04:06:29
62.000,0,7935.967,0,14-04 04:06:30
117.000,0,14848.024,0,14-04 04:06:31
95.994,0,12031.276,0,14-04 04:06:32
92.001,0,11520.123,0,14-04 04:06:33
116.006,0,14592.716,0,14-04 04:06:34
91.999,0,11775.913,0,14-04 04:06:35
124.002,0,15616.192,0,14-04 04:06:36
98.999,0,12543.894,0,14-04 04:06:37
75.000,0,9472.063,0,14-04 04:06:38
67.999,0,8703.914,0,14-04 04:06:39
65.995,0,8191.413,0,14-04 04:06:40
66.001,0,8448.186,0,14-04 04:06:41
133.005,0,16896.625,0,14-04 04:06:42
111.002,0,14080.191,0,14-04 04:06:43
100.001,0,12544.072,0,14-04 04:06:44
66.000,0,8447.983,0,14-04 04:06:45
59.999,0,7679.838,0,14-04 04:06:46
114.002,0,14592.210,0,14-04 04:06:47
74.000,0,9472.059,0,14-04 04:06:48
42.000,0,5375.979,0,14-04 04:06:49
51.998,0,6655.751,0,14-04 04:06:50
42.001,0,5376.108,0,14-04 04:06:51
44.001,0,5632.168,0,14-04 04:06:52
40.000,0,5119.971,0,14-04 04:06:53
111.999,0,14335.863,0,14-04 04:06:54
120.001,0,15360.154,0,14-04 04:06:55
90.000,0,11519.984,0,14-04 04:06:56
80.000,0,10240.046,0,14-04 04:06:57
25.999,0,3327.913,0,14-04 04:06:58
30.001,0,3840.087,0,14-04 04:06:59
28.000,0,3583.975,0,14-04 04:07:00
28.000,0,3583.975,0,14-04 04:07:01
22.000,0,2816.024,0,14-04 04:07:02
24.000,0,3072.004,0,14-04 04:07:03
28.000,0,3584.011,0,14-04 04:07:04
87.999,0,11263.836,0,14-04 04:07:05
76.001,0,9728.173,0,14-04 04:07:06
86.000,0,11007.956,0,14-04 04:07:07
96.000,0,12287.961,0,14-04 04:07:08
98.000,0,12544.051,0,14-04 04:07:09
76.000,0,9728.054,0,14-04 04:07:10
83.000,0,10623.955,0,14-04 04:07:11
113.000,0,14463.954,0,14-04 04:07:12
90.995,0,11519.409,0,14-04 04:07:13
96.003,0,12288.328,0,14-04 04:07:14
75.003,0,9600.325,0,14-04 04:07:15
106.991,0,13694.856,0,14-04 04:07:16
114.010,0,14593.318,0,14-04 04:07:17
141.992,0,18175.008,0,14-04 04:07:18
79.999,0,10239.879,0,14-04 04:07:19
92.001,0,11776.072,0,14-04 04:07:20
116.002,0,14848.304,0,14-04 04:07:21
126.001,0,16128.173,0,14-04 04:07:22
82.000,0,10496.009,0,14-04 04:07:23
54.001,0,6912.099,0,14-04 04:07:24
57.999,0,7423.888,0,14-04 04:07:25
104.002,0,13312.264,0,14-04 04:07:26
101.996,0,13055.512,0,14-04 04:07:27
104.001,0,13312.149,0,14-04 04:07:28
74.999,0,9599.928,0,14-04 04:07:29
80.999,0,10367.850,0,14-04 04:07:30
110.004,0,14080.563,0,14-04 04:07:31
89.999,0,11519.934,0,14-04 04:07:32
105.994,0,13567.168,0,14-04 04:07:33
102.001,0,13056.071,0,14-04 04:07:34
70.004,0,8960.572,0,14-04 04:07:35
44.001,2.000,5632.068,12.000,14-04 04:07:36
49.997,0,6399.658,0,14-04 04:07:37
33.999,0,4351.922,0,14-04 04:07:38
20.001,0,2560.173,0,14-04 04:07:39
20.000,0,2560.016,0,14-04 04:07:40
22.000,1.000,2816.004,4.000,14-04 04:07:41
18.000,0,2303.995,0,14-04 04:07:42
26.000,0,3328.000,0,14-04 04:07:43
20.000,0,2560.000,0,14-04 04:07:44
28.000,0,3584.003,0,14-04 04:07:45
22.000,0,2815.996,0,14-04 04:07:46
103.999,0,13311.885,0,14-04 04:07:47
99.999,0,12799.930,0,14-04 04:07:48
124.002,0,15872.205,0,14-04 04:07:49
59.999,0,7679.833,0,14-04 04:07:50
64.001,0,8192.161,0,14-04 04:07:51
61.999,0,7935.909,0,14-04 04:07:52
92.000,0,11776.050,0,14-04 04:07:53
76.000,0,9728.002,0,14-04 04:07:54
83.996,0,10751.483,0,14-04 04:07:55
55.999,0,7167.830,0,14-04 04:07:56
116.009,0,14849.197,0,14-04 04:07:57
109.994,0,14079.206,0,14-04 04:07:58
93.998,0,12031.685,0,14-04 04:07:59
92.006,0,11776.782,0,14-04 04:08:00
53.999,0,6911.853,0,14-04 04:08:01
72.001,0,9216.158,0,14-04 04:08:02
77.996,0,9983.457,0,14-04 04:08:03
84.006,0,10752.730,0,14-04 04:08:04
73.997,0,9471.666,0,14-04 04:08:05
92.004,0,11776.471,0,14-04 04:08:06
104.000,0,13311.981,0,14-04 04:08:07
81.993,0,10495.137,0,14-04 04:08:08
98.003,0,12544.334,0,14-04 04:08:09
78.001,0,9984.134,0,14-04 04:08:10
89.004,0,11392.525,0,14-04 04:08:11
59.000,0,7551.968,0,14-04 04:08:12
34.000,0,4351.992,0,14-04 04:08:13
46.000,0,5888.020,0,14-04 04:08:14
60.000,0,7679.965,0,14-04 04:08:15
61.999,0,7935.841,0,14-04 04:08:16
62.001,0,7936.128,0,14-04 04:08:17
30.000,0,3839.960,0,14-04 04:08:18
76.001,0,9728.128,0,14-04 04:08:19
95.998,0,12287.785,0,14-04 04:08:20
92.002,0,11776.241,0,14-04 04:08:21
122.000,0,15615.970,0,14-04 04:08:22
77.998,0,9983.694,0,14-04 04:08:23
122.003,0,15616.388,0,14-04 04:08:24
84.001,0,10752.136,0,14-04 04:08:25
74.000,0,9471.970,0,14-04 04:08:26
48.000,0,6144.007,0,14-04 04:08:27
73.000,0,9215.979,0,14-04 04:08:28
133.000,0,16896.045,0,14-04 04:08:29
109.000,0,13824.033,0,14-04 04:08:30
137.999,0,17663.926,0,14-04 04:08:31
91.000,0,11647.980,0,14-04 04:08:32
112.000,0,14207.959,0,14-04 04:08:33
91.001,0,11520.093,0,14-04 04:08:34
44.000,0,5632.020,0,14-04 04:08:35
49.000,0,6144.001,0,14-04 04:08:36
28.000,0,3583.977,0,14-04 04:08:37
34.000,0,4351.945,0,14-04 04:08:38
34.000,0,4352.040,0,14-04 04:08:39
86.000,0,11008.017,0,14-04 04:08:40
123.000,0,15615.967,0,14-04 04:08:41
95.001,0,12032.093,0,14-04 04:08:42
71.999,0,9215.900,0,14-04 04:08:43
79.001,0,9984.114,0,14-04 04:08:44
36.000,0,4608.018,0,14-04 04:08:45
84.999,0,10751.912,0,14-04 04:08:46
99.000,0,12544.054,0,14-04 04:08:47
136.000,0,17407.990,0,14-04 04:08:48
123.999,0,15743.857,0,14-04 04:08:49
115.002,0,14720.205,0,14-04 04:08:50
93.999,0,12031.832,0,14-04 04:08:51
98.998,0,12543.760,0,14-04 04:08:52
