"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out39/dstat_out_upload.csv -D vdb",,,,"Date:","16 Apr 2024 12:56:04 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,16-04 12:56:04
0,1.998,0,7.993,16-04 12:56:05
0,0,0,0,16-04 12:56:06
0,0,0,0,16-04 12:56:07
0,12.000,0,679.992,16-04 12:56:08
0,20.000,0,228.005,16-04 12:56:09
0,1.000,0,16.000,16-04 12:56:10
0,0,0,0,16-04 12:56:11
0,0,0,0,16-04 12:56:12
0,50.957,0,48410.917,16-04 12:56:13
0,428.962,0,436857.746,16-04 12:56:14
0,389.023,0,364505.311,16-04 12:56:15
0,0,0,0,16-04 12:56:16
0,0,0,0,16-04 12:56:17
0,0,0,0,16-04 12:56:18
0,5.000,0,20.001,16-04 12:56:19
0,157.992,0,131065.427,16-04 12:56:20
0,255.738,0,220957.589,16-04 12:56:21
0,249.239,0,229596.259,16-04 12:56:22
0,162.003,0,152591.248,16-04 12:56:23
0,327.018,0,304645.039,16-04 12:56:24
0,575.963,0,577578.859,16-04 12:56:25
0,487.985,0,488505.301,16-04 12:56:26
0,45.001,0,43705.047,16-04 12:56:27
0,0,0,0,16-04 12:56:28
0,3.000,0,72.007,16-04 12:56:29
0,0,0,0,16-04 12:56:30
0,200.013,0,192852.276,16-04 12:56:31
0,274.236,0,274340.122,16-04 12:56:32
0.999,179.822,3.996,180045.748,16-04 12:56:33
0,199.019,0,196682.879,16-04 12:56:34
0,195.978,0,191870.646,16-04 12:56:35
0,545.028,0,555732.844,16-04 12:56:36
0,479.029,0,487781.945,16-04 12:56:37
0,43.995,0,45259.132,16-04 12:56:38
0,5.005,0,76.076,16-04 12:56:39
0,0,0,0,16-04 12:56:40
0,8.007,0,5124.531,16-04 12:56:41
0,210.985,0,216048.893,16-04 12:56:42
0.999,219.785,3.996,220967.477,16-04 12:56:43
0,246.051,0,229559.184,16-04 12:56:44
0,233.197,0,237768.426,16-04 12:56:45
0,379.969,0,383968.454,16-04 12:56:46
0,487.594,0,497249.526,16-04 12:56:47
0,398.980,0,407323.704,16-04 12:56:48
0,3.000,0,76.003,16-04 12:56:49
0,0,0,0,16-04 12:56:50
0,0,0,0,16-04 12:56:51
0,139.128,0,139392.527,16-04 12:56:52
0,199.817,0,202566.277,16-04 12:56:53
0,153.134,0,152753.770,16-04 12:56:54
0,256.727,0,258856.308,16-04 12:56:55
0,260.017,0,262161.326,16-04 12:56:56
0,97.101,0,96355.846,16-04 12:56:57
0,504.994,0,516089.488,16-04 12:56:58
0,518.489,0,518556.677,16-04 12:56:59
0,135.995,0,136143.437,16-04 12:57:00
0,0,0,0,16-04 12:57:01
0,0,0,0,16-04 12:57:02
0,0,0,0,16-04 12:57:03
0,16.986,0,7417.915,16-04 12:57:04
0,252.221,0,255023.440,16-04 12:57:05
0,257.988,0,262132.081,16-04 12:57:06
0,218.210,0,220371.999,16-04 12:57:07
0,210.983,0,208879.186,16-04 12:57:08
0,469.597,0,477010.996,16-04 12:57:09
0,501.972,0,513423.085,16-04 12:57:10
0,134.001,0,130741.157,16-04 12:57:11
0,0,0,0,16-04 12:57:12
0,0,0,0,16-04 12:57:13
0,4.000,0,20.000,16-04 12:57:14
0,0,0,0,16-04 12:57:15
0,249.027,0,236633.736,16-04 12:57:16
0,232.991,0,234486.980,16-04 12:57:17
0,92.006,0,94214.566,16-04 12:57:18
0,278.972,0,278555.778,16-04 12:57:19
0,250.003,0,254978.722,16-04 12:57:20
0,539.716,0,547016.501,16-04 12:57:21
0,490.721,0,488777.940,16-04 12:57:22
0,0,0,0,16-04 12:57:23
0,12.989,0,155.863,16-04 12:57:24
0,0,0,0,16-04 12:57:25
0,25.000,0,20856.110,16-04 12:57:26
0,269.003,0,265866.641,16-04 12:57:27
0,282.989,0,286709.078,16-04 12:57:28
0,146.000,0,143303.799,16-04 12:57:29
0,148.134,0,151789.809,16-04 12:57:30
0,398.667,0,397903.317,16-04 12:57:31
0,512.410,0,515484.607,16-04 12:57:32
0,368.675,0,373430.416,16-04 12:57:33
0,4.000,0,80.004,16-04 12:57:34
0,7.000,0,83.996,16-04 12:57:35
0,0,0,0,16-04 12:57:36
0,24.001,0,19228.917,16-04 12:57:37
0,280.973,0,275657.898,16-04 12:57:38
0,304.991,0,294951.763,16-04 12:57:39
0,129.021,0,124348.267,16-04 12:57:40
0,196.171,0,186398.575,16-04 12:57:41
0,473.547,0,473366.791,16-04 12:57:42
0,576.042,0,587403.082,16-04 12:57:43
0,230.988,0,224612.545,16-04 12:57:44
288.995,9.000,37995.381,91.999,16-04 12:57:45
679.602,0,87865.825,0,16-04 12:57:46
1273.050,0,161514.283,0,16-04 12:57:47
1062.016,7.993,134787.162,8056.538,16-04 12:57:48
4.000,405.972,511.965,404580.427,16-04 12:57:49
851.809,205.195,108170.741,193800.072,16-04 12:57:50
803.048,0,101354.107,0,16-04 12:57:51
0.999,292.747,3.997,294800.775,16-04 12:57:52
0,542.979,0,534319.120,16-04 12:57:53
2.000,446.998,131.999,437241.725,16-04 12:57:54
13.986,431.555,703.275,414560.756,16-04 12:57:55
27.028,455.467,2450.511,445256.301,16-04 12:57:56
48.998,81.997,4087.839,77956.925,16-04 12:57:57
77.075,169.164,6498.285,167586.085,16-04 12:57:58
31.969,431.578,2665.394,430682.837,16-04 12:57:59
81.005,340.020,9816.573,335899.615,16-04 12:58:00
1.000,528.007,128.002,515155.058,16-04 12:58:01
1.001,505.350,128.089,500098.771,16-04 12:58:02
162.882,337.756,18994.294,324893.559,16-04 12:58:03
56.050,5.004,6473.763,84.075,16-04 12:58:04
87.919,439.595,10885.967,429268.361,16-04 12:58:05
1.000,480.007,64.001,477478.929,16-04 12:58:06
52.999,527.992,6423.901,514040.099,16-04 12:58:07
32.000,272.004,3912.051,263827.456,16-04 12:58:08
162.144,23.020,20165.933,212.189,16-04 12:58:09
35.993,471.904,4339.116,459666.400,16-04 12:58:10
2.998,490.667,19.986,482069.213,16-04 12:58:11
0,557.975,0,544603.472,16-04 12:58:12
61.006,201.018,7580.689,193729.605,16-04 12:58:13
406.974,65.996,51888.724,47061.029,16-04 12:58:14
383.028,336.024,48807.558,333668.322,16-04 12:58:15
2.000,457.985,255.992,443801.539,16-04 12:58:16
93.996,499.978,12015.481,508534.039,16-04 12:58:17
1024.963,274.258,130975.032,272896.347,16-04 12:58:18
1456.020,7.000,186242.608,88.001,16-04 12:58:19
1409.796,16.985,180198.126,127.891,16-04 12:58:20
1269.044,0,162309.553,0,16-04 12:58:21
1297.876,0,166000.185,0,16-04 12:58:22
1304.931,0,166647.184,0,16-04 12:58:23
1038.035,28.001,132868.514,22668.770,16-04 12:58:24
834.752,327.295,106592.059,325305.159,16-04 12:58:25
1450.710,20.981,185690.877,20953.367,16-04 12:58:26
613.976,238.991,78460.943,231158.992,16-04 12:58:27
2.000,480.009,256.005,462984.840,16-04 12:58:28
473.004,480.004,60416.502,467075.882,16-04 12:58:29
1166.941,85.996,149368.490,84059.774,16-04 12:58:30
1341.090,0,171403.538,0,16-04 12:58:31
1373.921,0,175605.904,0,16-04 12:58:32
1413.073,0,180337.297,0,16-04 12:58:33
1319.004,3.000,168704.516,20.000,16-04 12:58:34
1250.000,10.000,159584.012,84.000,16-04 12:58:35
1354.209,0,173338.798,0,16-04 12:58:36
680.396,259.769,86834.933,247588.262,16-04 12:58:37
1364.174,121.104,174614.293,120936.092,16-04 12:58:38
901.164,127.881,115093.206,128776.509,16-04 12:58:39
72.821,420.418,9321.042,412661.939,16-04 12:58:40
170.104,496.909,21773.287,489486.594,16-04 12:58:41
1091.936,230.986,139767.785,228038.597,16-04 12:58:42
1342.898,0,171378.990,0,16-04 12:58:43
1285.007,7.000,163968.922,56.000,16-04 12:58:44
1320.005,0,168960.595,0,16-04 12:58:45
1268.251,0,162079.883,0,16-04 12:58:46
1126.988,0,144254.488,0,16-04 12:58:47
1292.177,0,165014.336,0,16-04 12:58:48
869.244,48.957,111263.241,46039.962,16-04 12:58:49
562.963,321.979,71931.266,322574.772,16-04 12:58:50
1142.080,0,146058.065,0,16-04 12:58:51
1131.492,23.968,144703.146,21091.890,16-04 12:58:52
4.002,493.250,512.260,474960.989,16-04 12:58:53
0,482.913,0,471371.234,16-04 12:58:54
681.015,281.006,87041.917,274638.049,16-04 12:58:55
1274.105,0,163085.474,0,16-04 12:58:56
1367.980,0,174845.447,0,16-04 12:58:57
1327.003,0,169728.384,0,16-04 12:58:58
1249.121,4.004,159759.431,20.018,16-04 12:58:59
1414.739,0,180830.836,0,16-04 12:59:00
1204.990,0,154110.685,0,16-04 12:59:01
1211.089,12.011,154763.138,8223.393,16-04 12:59:02
782.275,322.701,100131.147,307275.061,16-04 12:59:03
1446.999,59.000,184959.838,52907.954,16-04 12:59:04
698.047,150.010,89350.014,151434.193,16-04 12:59:05
1.000,475.992,127.998,472055.873,16-04 12:59:06
381.001,479.001,48768.138,472065.332,16-04 12:59:07
1192.952,156.994,152569.858,154617.775,16-04 12:59:08
1240.063,5.000,158472.100,72.004,16-04 12:59:09
1370.895,0,175474.559,0,16-04 12:59:10
1135.083,0,144734.646,0,16-04 12:59:11
1245.110,7.006,159374.060,172.153,16-04 12:59:12
1270.839,0,162411.679,0,16-04 12:59:13
1279.122,4.004,163599.471,12.011,16-04 12:59:14
798.303,110.903,102054.871,106594.906,16-04 12:59:15
964.018,260.005,123394.295,261956.873,16-04 12:59:16
1383.925,0,176758.460,0,16-04 12:59:17
344.024,222.015,44035.046,217103.018,16-04 12:59:18
1.000,475.985,127.996,465948.831,16-04 12:59:19
