"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out6/dstat_out_wf.csv -D vdb",,,,"Date:","15 Apr 2024 12:30:40 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,15-04 12:30:40
0.999,0,3.998,0,15-04 12:30:41
0,0,0,0,15-04 12:30:42
0,0,0,0,15-04 12:30:43
100.998,0,3195.933,0,15-04 12:30:44
5.000,11.000,179.997,71.999,15-04 12:30:45
0,0,0,0,15-04 12:30:46
0,0,0,0,15-04 12:30:47
0,3.000,0,112.000,15-04 12:30:48
0,0,0,0,15-04 12:30:49
0,0,0,0,15-04 12:30:50
0,0,0,0,15-04 12:30:51
0,0,0,0,15-04 12:30:52
0,0,0,0,15-04 12:30:53
0,0,0,0,15-04 12:30:54
0,0,0,0,15-04 12:30:55
0,0,0,0,15-04 12:30:56
0,0,0,0,15-04 12:30:57
0,0,0,0,15-04 12:30:58
0,0,0,0,15-04 12:30:59
0,0,0,0,15-04 12:31:00
0,0,0,0,15-04 12:31:01
0,0,0,0,15-04 12:31:02
0,0,0,0,15-04 12:31:03
0,0,0,0,15-04 12:31:04
0,0,0,0,15-04 12:31:05
0,0,0,0,15-04 12:31:06
0,0,0,0,15-04 12:31:07
0,0,0,0,15-04 12:31:08
0,0,0,0,15-04 12:31:09
0,0,0,0,15-04 12:31:10
0,0,0,0,15-04 12:31:11
0,0,0,0,15-04 12:31:12
0,0,0,0,15-04 12:31:13
0,0,0,0,15-04 12:31:14
0,0,0,0,15-04 12:31:15
0,9.999,0,303.977,15-04 12:31:16
0,0,0,0,15-04 12:31:17
17.974,5.991,1074.456,87.874,15-04 12:31:18
67.128,0,7770.835,0,15-04 12:31:19
77.002,0,9728.255,0,15-04 12:31:20
85.001,3.000,10880.069,40.000,15-04 12:31:21
94.999,0,12031.855,0,15-04 12:31:22
95.000,0,12032.038,0,15-04 12:31:23
88.000,0,11264.007,0,15-04 12:31:24
88.000,0,11264.038,0,15-04 12:31:25
91.999,0,11775.919,0,15-04 12:31:26
100.997,0,12799.559,0,15-04 12:31:27
83.998,0,10751.793,0,15-04 12:31:28
110.006,0,13952.815,0,15-04 12:31:29
115.999,0,14719.925,0,15-04 12:31:30
92.000,0,11775.985,0,15-04 12:31:31
96.000,0,12160.041,0,15-04 12:31:32
110.000,0,14079.987,0,15-04 12:31:33
49.001,0,6272.170,0,15-04 12:31:34
19.000,0,2431.991,0,15-04 12:31:35
76.999,0,9855.871,0,15-04 12:31:36
86.998,0,11135.732,0,15-04 12:31:37
109.003,0,13824.432,0,15-04 12:31:38
99.997,0,12799.566,0,15-04 12:31:39
87.002,0,11136.244,0,15-04 12:31:40
82.001,0,10496.131,0,15-04 12:31:41
86.000,0,10752.007,0,15-04 12:31:42
97.999,0,12415.864,0,15-04 12:31:43
80.000,0,10239.998,0,15-04 12:31:44
68.001,0,8576.070,0,15-04 12:31:45
104.999,0,13311.935,0,15-04 12:31:46
94.002,0,12032.285,0,15-04 12:31:47
99.998,0,12671.788,0,15-04 12:31:48
68.001,0,8576.116,0,15-04 12:31:49
78.001,0,9984.072,0,15-04 12:31:50
74.000,0,9471.992,0,15-04 12:31:51
98.000,6.000,12416.043,32.000,15-04 12:31:52
78.997,0,10111.607,0,15-04 12:31:53
106.001,0,13568.101,0,15-04 12:31:54
58.002,0,7424.215,0,15-04 12:31:55
94.994,0,12159.276,0,15-04 12:31:56
95.006,0,12160.780,0,15-04 12:31:57
59.000,0,7552.004,0,15-04 12:31:58
67.000,0,8576.013,0,15-04 12:31:59
66.967,0,8571.821,0,15-04 12:32:00
105.046,0,13445.841,0,15-04 12:32:01
36.001,0,4480.148,0,15-04 12:32:02
74.000,0,9472.054,0,15-04 12:32:03
67.996,0,8575.486,0,15-04 12:32:04
73.001,0,9344.083,0,15-04 12:32:05
70.999,0,8831.892,0,15-04 12:32:06
98.004,0,12544.536,0,15-04 12:32:07
100.001,0,12800.178,0,15-04 12:32:08
65.999,0,8319.910,0,15-04 12:32:09
101.000,0,12928.060,0,15-04 12:32:10
104.002,0,13312.230,0,15-04 12:32:11
35.000,0,4480.009,0,15-04 12:32:12
67.996,0,8703.461,0,15-04 12:32:13
64.001,0,8064.096,0,15-04 12:32:14
47.001,0,6016.104,0,15-04 12:32:15
116.002,0,14848.262,0,15-04 12:32:16
98.999,0,12543.839,0,15-04 12:32:17
80.963,0,10363.210,0,15-04 12:32:18
99.041,0,12677.243,0,15-04 12:32:19
73.998,3.000,9343.754,12.000,15-04 12:32:20
94.007,0,12032.844,0,15-04 12:32:21
109.003,0,13952.430,0,15-04 12:32:22
92.999,0,11903.813,0,15-04 12:32:23
91.997,0,11775.565,0,15-04 12:32:24
79.005,0,10112.580,0,15-04 12:32:25
68.000,0,8704.036,0,15-04 12:32:26
117.999,0,15103.862,0,15-04 12:32:27
115.000,0,14719.971,0,15-04 12:32:28
102.000,0,13056.000,0,15-04 12:32:29
66.000,0,8448.028,0,15-04 12:32:30
58.000,0,7423.984,0,15-04 12:32:31
71.000,0,9087.945,0,15-04 12:32:32
84.000,0,10752.023,0,15-04 12:32:33
65.001,0,8320.071,0,15-04 12:32:34
46.000,0,5888.021,0,15-04 12:32:35
55.000,0,7039.988,0,15-04 12:32:36
41.000,0,5247.992,0,15-04 12:32:37
42.000,0,5376.019,0,15-04 12:32:38
43.991,0,5630.858,0,15-04 12:32:39
108.022,0,13826.836,0,15-04 12:32:40
122.000,0,15615.968,0,15-04 12:32:41
118.000,0,15103.985,0,15-04 12:32:42
61.000,0,7807.941,0,15-04 12:32:43
28.999,0,3711.869,0,15-04 12:32:44
28.001,0,3456.104,0,15-04 12:32:45
26.999,0,3455.923,0,15-04 12:32:46
23.001,0,2944.098,0,15-04 12:32:47
25.000,0,3199.986,0,15-04 12:32:48
26.000,0,3455.988,0,15-04 12:32:49
63.000,0,7935.990,0,15-04 12:32:50
82.999,1.000,10623.866,4.000,15-04 12:32:51
77.000,0,9855.949,0,15-04 12:32:52
87.999,0,11263.895,0,15-04 12:32:53
89.001,0,11392.097,0,15-04 12:32:54
98.001,0,12544.147,0,15-04 12:32:55
58.999,0,7551.847,0,15-04 12:32:56
99.000,0,12671.960,0,15-04 12:32:57
96.999,0,12415.872,0,15-04 12:32:58
103.002,0,13184.226,0,15-04 12:32:59
82.001,0,10496.089,0,15-04 12:33:00
79.000,0,10112.050,0,15-04 12:33:01
101.988,0,13054.487,0,15-04 12:33:02
105.010,0,13441.334,0,15-04 12:33:03
136.998,0,17407.804,0,15-04 12:33:04
90.000,0,11520.049,0,15-04 12:33:05
87.000,0,11136.020,0,15-04 12:33:06
109.001,0,13952.164,0,15-04 12:33:07
94.993,0,12159.161,0,15-04 12:33:08
84.005,0,10624.633,0,15-04 12:33:09
53.001,0,6784.081,0,15-04 12:33:10
49.998,0,6399.752,0,15-04 12:33:11
90.004,0,11520.522,0,15-04 12:33:12
87.000,0,11136.022,0,15-04 12:33:13
88.998,0,11391.714,0,15-04 12:33:14
91.001,0,11648.077,0,15-04 12:33:15
75.999,0,9727.935,0,15-04 12:33:16
83.001,0,10624.166,0,15-04 12:33:17
92.999,0,11903.924,0,15-04 12:33:18
72.998,0,9343.775,0,15-04 12:33:19
103.001,0,13184.180,0,15-04 12:33:20
108.999,0,13951.817,0,15-04 12:33:21
76.002,0,9728.241,0,15-04 12:33:22
42.001,0,5376.116,0,15-04 12:33:23
43.000,0,5504.012,0,15-04 12:33:24
40.999,0,5247.897,0,15-04 12:33:25
21.000,0,2688.044,0,15-04 12:33:26
17.998,0,2303.798,0,15-04 12:33:27
19.001,0,2432.137,0,15-04 12:33:28
17.999,0,2303.878,0,15-04 12:33:29
23.002,0,2944.254,0,15-04 12:33:30
18.999,0,2431.917,0,15-04 12:33:31
23.001,0,2944.100,0,15-04 12:33:32
26.999,0,3455.880,0,15-04 12:33:33
55.001,0,7040.102,0,15-04 12:33:34
99.000,0,12671.979,0,15-04 12:33:35
90.998,0,11647.732,0,15-04 12:33:36
98.004,0,12544.473,0,15-04 12:33:37
60.998,0,7807.787,0,15-04 12:33:38
55.001,0,7040.164,0,15-04 12:33:39
41.998,0,5375.740,0,15-04 12:33:40
58.003,0,7424.343,0,15-04 12:33:41
67.994,0,8703.247,0,15-04 12:33:42
81.007,0,10368.835,0,15-04 12:33:43
78.999,0,10111.832,0,15-04 12:33:44
79.002,0,10112.269,0,15-04 12:33:45
88.997,0,11391.646,0,15-04 12:33:46
78.003,0,9984.361,0,15-04 12:33:47
84.000,0,10752.029,0,15-04 12:33:48
68.995,0,8831.375,0,15-04 12:33:49
80.006,0,10240.729,0,15-04 12:33:50
45.995,0,5887.327,0,15-04 12:33:51
65.007,0,8320.880,0,15-04 12:33:52
93.001,0,11904.147,0,15-04 12:33:53
93.000,0,11904.005,0,15-04 12:33:54
95.995,0,12287.417,0,15-04 12:33:55
116.006,0,14848.829,0,15-04 12:33:56
119.992,0,15359.026,0,15-04 12:33:57
96.980,0,12413.391,0,15-04 12:33:58
73.008,0,9344.993,0,15-04 12:33:59
87.009,0,11137.167,0,15-04 12:34:00
58.000,0,7423.998,0,15-04 12:34:01
30.001,0,3840.111,0,15-04 12:34:02
45.001,0,5760.135,0,15-04 12:34:03
37.000,0,4736.027,0,15-04 12:34:04
73.998,0,9471.694,0,15-04 12:34:05
53.000,0,6783.961,0,15-04 12:34:06
30.996,0,3967.518,0,15-04 12:34:07
29.002,0,3712.253,0,15-04 12:34:08
81.001,0,10368.087,0,15-04 12:34:09
85.003,0,10880.404,0,15-04 12:34:10
79.002,0,10112.283,0,15-04 12:34:11
100.000,0,12800.000,0,15-04 12:34:12
79.998,0,10239.784,0,15-04 12:34:13
70.000,0,8960.043,0,15-04 12:34:14
100.998,0,12927.778,0,15-04 12:34:15
75.004,0,9600.479,0,15-04 12:34:16
82.999,0,10623.843,0,15-04 12:34:17
47.000,0,6015.944,0,15-04 12:34:18
95.002,0,12160.220,0,15-04 12:34:19
143.997,0,18431.558,0,15-04 12:34:20
92.999,0,11903.910,0,15-04 12:34:21
123.966,0,15867.607,0,15-04 12:34:22
79.020,0,10114.546,0,15-04 12:34:23
106.003,0,13568.404,0,15-04 12:34:24
89.002,0,11392.276,0,15-04 12:34:25
45.996,0,5887.476,0,15-04 12:34:26
46.004,0,5888.505,0,15-04 12:34:27
25.999,0,3327.877,0,15-04 12:34:28
34.002,0,4352.197,0,15-04 12:34:29
28.998,0,3711.701,0,15-04 12:34:30
57.003,0,7296.343,0,15-04 12:34:31
98.993,0,12543.062,0,15-04 12:34:32
77.005,0,9856.664,0,15-04 12:34:33
72.995,0,9343.420,0,15-04 12:34:34
54.004,0,6912.486,0,15-04 12:34:35
60.997,0,7807.602,0,15-04 12:34:36
50.003,0,6400.432,0,15-04 12:34:37
38.998,0,4991.800,0,15-04 12:34:38
62.003,0,7936.353,0,15-04 12:34:39
57.999,0,7423.883,0,15-04 12:34:40
80.001,0,10240.081,0,15-04 12:34:41
99.000,0,12672.063,0,15-04 12:34:42
85.998,0,11007.759,0,15-04 12:34:43
78.001,0,9984.117,0,15-04 12:34:44
116.994,0,14847.227,0,15-04 12:34:45
80.000,0,10239.936,0,15-04 12:34:46
64.003,0,8192.407,0,15-04 12:34:47
65.998,0,8447.782,0,15-04 12:34:48
83.000,0,10624.020,0,15-04 12:34:49
120.003,0,15360.361,0,15-04 12:34:50
95.002,3.000,12160.284,12.000,15-04 12:34:51
80.000,0,10239.957,0,15-04 12:34:52
81.000,0,10367.957,0,15-04 12:34:53
78.001,0,9984.083,0,15-04 12:34:54
94.000,0,12031.951,0,15-04 12:34:55
95.999,0,12287.897,0,15-04 12:34:56
103.000,0,13183.980,0,15-04 12:34:57
98.001,0,12416.140,0,15-04 12:34:58
117.992,0,14974.974,0,15-04 12:34:59
86.006,0,11008.738,0,15-04 12:35:00
67.000,0,8575.940,0,15-04 12:35:01
96.000,0,12287.945,0,15-04 12:35:02
123.002,0,15744.226,0,15-04 12:35:03
102.999,0,13183.935,0,15-04 12:35:04
101.001,0,12928.141,0,15-04 12:35:05
65.000,0,8320.010,0,15-04 12:35:06
54.000,0,6911.987,0,15-04 12:35:07
80.000,0,10239.953,0,15-04 12:35:08
104.000,0,13311.994,0,15-04 12:35:09
97.996,0,12543.443,0,15-04 12:35:10
77.000,0,9856.020,0,15-04 12:35:11
82.004,0,10368.507,0,15-04 12:35:12
69.000,0,8832.000,0,15-04 12:35:13
74.000,0,9471.976,0,15-04 12:35:14
86.995,0,11135.319,0,15-04 12:35:15
