"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out1/dstat_out_wf.csv -D vdb",,,,"Date:","06 May 2024 07:39:28 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,06-05 07:39:28
72.935,0,1774.413,0,06-05 07:39:29
73.996,0,2039.884,0,06-05 07:39:30
0,0,0,0,06-05 07:39:31
0,0,0,0,06-05 07:39:32
3.000,4.000,12.000,16.000,06-05 07:39:33
9.000,7.000,332.011,972.031,06-05 07:39:34
578.004,0,23040.177,0,06-05 07:39:35
323.998,0,14483.928,0,06-05 07:39:36
471.978,0,27446.702,0,06-05 07:39:37
518.007,0,23932.335,0,06-05 07:39:38
254.988,104.995,39158.166,683.968,06-05 07:39:39
132.013,2.000,35011.500,16.002,06-05 07:39:40
127.991,0,21190.552,0,06-05 07:39:41
504.739,0,64606.653,0,06-05 07:39:42
441.007,0,56448.869,0,06-05 07:39:43
135.006,0,17280.759,0,06-05 07:39:44
160.006,0,20480.814,0,06-05 07:39:45
168.989,2.000,21630.614,23.998,06-05 07:39:46
172.994,0,22143.184,0,06-05 07:39:47
178.999,0,22911.892,0,06-05 07:39:48
218.008,0,27905.076,0,06-05 07:39:49
173.004,0,22144.551,0,06-05 07:39:50
167.988,3.000,21502.403,15.999,06-05 07:39:51
161.006,0,20608.830,0,06-05 07:39:52
209.002,0,26752.245,0,06-05 07:39:53
178.001,0,22784.138,0,06-05 07:39:54
191.003,0,24448.399,0,06-05 07:39:55
170.998,0,21887.808,0,06-05 07:39:56
227.005,0,29056.616,0,06-05 07:39:57
140.214,0,17947.376,0,06-05 07:39:58
143.885,0,18417.287,0,06-05 07:39:59
170.998,0,21887.756,0,06-05 07:40:00
218.006,0,27776.801,0,06-05 07:40:01
180.986,0,23166.223,0,06-05 07:40:02
198.000,0,25344.003,0,06-05 07:40:03
175.008,2.000,22401.007,12.001,06-05 07:40:04
118.000,0,15103.984,0,06-05 07:40:05
191.000,1.000,24448.022,4.000,06-05 07:40:06
198.001,0,25344.139,0,06-05 07:40:07
200.000,0,25600.036,0,06-05 07:40:08
198.003,0,25344.373,0,06-05 07:40:09
177.999,0,22783.920,0,06-05 07:40:10
193.000,0,24703.973,0,06-05 07:40:11
171.001,0,21888.176,0,06-05 07:40:12
171.000,0,21887.978,0,06-05 07:40:13
158.000,0,20223.975,0,06-05 07:40:14
183.995,0,23551.386,0,06-05 07:40:15
141.999,0,18175.897,0,06-05 07:40:16
228.001,0,29184.147,0,06-05 07:40:17
142.993,0,18303.073,0,06-05 07:40:18
142.013,0,18177.722,0,06-05 07:40:19
198.999,2.000,25471.929,12.000,06-05 07:40:20
171.001,0,21888.119,0,06-05 07:40:21
142.995,0,18303.304,0,06-05 07:40:22
228.000,0,29183.995,0,06-05 07:40:23
155.001,0,19840.092,0,06-05 07:40:24
