"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out39/dstat_out_wf.csv -D vdb",,,,"Date:","10 May 2024 20:36:03 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,10-05 20:36:03
140.983,0,8638.975,0,10-05 20:36:04
82.932,0,3700.944,0,10-05 20:36:05
0,0,0,0,10-05 20:36:06
0,0,0,0,10-05 20:36:07
29.001,0,2588.059,0,10-05 20:36:08
269.999,1.000,24303.910,8.000,10-05 20:36:09
440.987,17.999,53858.457,123.996,10-05 20:36:10
109.004,0,73530.639,0,10-05 20:36:11
104.006,0,32581.954,0,10-05 20:36:12
115.001,0,78964.672,0,10-05 20:36:13
63.995,0,37384.840,0,10-05 20:36:14
111.004,0,52213.887,0,10-05 20:36:15
124.091,4.003,18125.281,12.009,10-05 20:36:16
607.030,0,77699.829,0,10-05 20:36:17
294.003,0,37632.398,0,10-05 20:36:18
170.999,20.000,21887.831,167.999,10-05 20:36:19
198.010,0,25345.257,0,10-05 20:36:20
170.996,4.000,21887.515,16.000,10-05 20:36:21
170.996,0,21887.496,0,10-05 20:36:22
170.000,0,21759.984,0,10-05 20:36:23
199.007,0,25472.858,0,10-05 20:36:24
162.003,0,20736.414,0,10-05 20:36:25
150.001,0,19200.085,0,10-05 20:36:26
199.001,0,25472.123,0,10-05 20:36:27
162.996,0,20863.430,0,10-05 20:36:28
178.004,0,22784.485,0,10-05 20:36:29
228.003,0,29184.346,0,10-05 20:36:30
205.997,0,26367.654,0,10-05 20:36:31
135.000,0,17279.971,0,10-05 20:36:32
169.998,0,21759.689,0,10-05 20:36:33
228.001,4.000,29184.114,268.001,10-05 20:36:34
138.995,0,17791.308,0,10-05 20:36:35
202.010,0,25857.278,0,10-05 20:36:36
198.995,0,25471.424,0,10-05 20:36:37
198.013,0,25345.689,0,10-05 20:36:38
198.988,8.999,25470.515,51.997,10-05 20:36:39
171.000,0,21888.059,0,10-05 20:36:40
170.001,0,21760.169,0,10-05 20:36:41
144.993,0,18559.069,0,10-05 20:36:42
197.008,0,25217.084,0,10-05 20:36:43
141.997,6.000,18175.587,31.999,10-05 20:36:44
170.005,4.000,21760.641,20.001,10-05 20:36:45
191.994,0,24575.237,0,10-05 20:36:46
