"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out15/dstat_out_wf.csv -D vdb",,,,"Date:","20 Apr 2024 18:24:10 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,20-04 18:24:10
5.995,0,23.979,0,20-04 18:24:11
266.192,0,13697.897,0,20-04 18:24:12
0,0,0,0,20-04 18:24:13
0,8.991,0,47.952,20-04 18:24:14
0,0,0,0,20-04 18:24:15
0,0,0,0,20-04 18:24:16
0,1.999,0,143.897,20-04 18:24:17
0,0,0,0,20-04 18:24:18
0,0,0,0,20-04 18:24:19
0,0,0,0,20-04 18:24:20
0,0,0,0,20-04 18:24:21
0,12.001,0,132.008,20-04 18:24:22
0,0,0,0,20-04 18:24:23
0,0,0,0,20-04 18:24:24
0,0,0,0,20-04 18:24:25
0,2.002,0,12.010,20-04 18:24:26
0,0,0,0,20-04 18:24:27
0,0,0,0,20-04 18:24:28
0,0,0,0,20-04 18:24:29
0,0,0,0,20-04 18:24:30
0,1.000,0,4.000,20-04 18:24:31
0,0,0,0,20-04 18:24:32
0,0,0,0,20-04 18:24:33
0,0,0,0,20-04 18:24:34
0,0,0,0,20-04 18:24:35
0,0,0,0,20-04 18:24:36
0,0,0,0,20-04 18:24:37
0,0,0,0,20-04 18:24:38
0,2.000,0,12.000,20-04 18:24:39
0,0,0,0,20-04 18:24:40
0,0,0,0,20-04 18:24:41
0,0,0,0,20-04 18:24:42
0,0,0,0,20-04 18:24:43
0,8.005,0,412.281,20-04 18:24:44
0,0,0,0,20-04 18:24:45
0,0,0,0,20-04 18:24:46
0,0,0,0,20-04 18:24:47
0,0,0,0,20-04 18:24:48
43.004,13.001,4768.462,144.014,20-04 18:24:49
773.996,0,97663.499,0,20-04 18:24:50
798.003,0,100864.333,0,20-04 18:24:51
411.304,0,51878.374,0,20-04 18:24:52
0,0,0,0,20-04 18:24:53
0,0,0,0,20-04 18:24:54
0,2.000,0,159.997,20-04 18:24:55
0,0,0,0,20-04 18:24:56
0,0,0,0,20-04 18:24:57
0,0,0,0,20-04 18:24:58
0,0,0,0,20-04 18:24:59
0,25.980,0,16714.990,20-04 18:25:00
0,0,0,0,20-04 18:25:01
0,0,0,0,20-04 18:25:02
0,2.000,0,124.003,20-04 18:25:03
0,0,0,0,20-04 18:25:04
0,158.001,0,154841.114,20-04 18:25:05
328.996,405.995,41471.484,396891.066,20-04 18:25:06
678.972,0,86780.388,0,20-04 18:25:07
500.030,2.000,64003.805,144.009,20-04 18:25:08
94.001,0,12032.101,0,20-04 18:25:09
173.995,0,22271.353,0,20-04 18:25:10
234.001,0,29952.104,0,20-04 18:25:11
0,0,0,0,20-04 18:25:12
0,9.000,0,148.008,20-04 18:25:13
0,0,0,0,20-04 18:25:14
0,0,0,0,20-04 18:25:15
0,0,0,0,20-04 18:25:16
0,0,0,0,20-04 18:25:17
0,2.000,0,111.998,20-04 18:25:18
0,0,0,0,20-04 18:25:19
0,0,0,0,20-04 18:25:20
0,150.001,0,146601.260,20-04 18:25:21
0,0,0,0,20-04 18:25:22
182.971,173.972,23420.285,115625.661,20-04 18:25:23
669.108,415.067,85397.763,237470.271,20-04 18:25:24
652.004,433.003,83332.510,209669.284,20-04 18:25:25
244.987,454.977,31358.396,226408.418,20-04 18:25:26
0,0,0,0,20-04 18:25:27
249.986,2.000,31998.267,199.989,20-04 18:25:28
0,0,0,0,20-04 18:25:29
0,0,0,0,20-04 18:25:30
0,0,0,0,20-04 18:25:31
0,0,0,0,20-04 18:25:32
0,2.000,0,111.997,20-04 18:25:33
0,0,0,0,20-04 18:25:34
0,0,0,0,20-04 18:25:35
0,0,0,0,20-04 18:25:36
0,0,0,0,20-04 18:25:37
0,2.000,0,112.009,20-04 18:25:38
249.999,0,31999.933,0,20-04 18:25:39
127.897,92.925,16370.774,67381.562,20-04 18:25:40
370.317,81.069,47400.568,58694.234,20-04 18:25:41
