"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out43/dstat_out_upload.csv -D vdb",,,,"Date:","21 Apr 2024 19:11:48 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,21-04 19:11:48
7.993,1.998,83.925,7.993,21-04 19:11:49
0,0,0,0,21-04 19:11:50
0,28.000,0,716.001,21-04 19:11:51
0,0,0,0,21-04 19:11:52
0,3.000,0,239.998,21-04 19:11:53
0,0,0,0,21-04 19:11:54
0,0,0,0,21-04 19:11:55
0,0,0,0,21-04 19:11:56
1.000,86.000,4.000,78503.589,21-04 19:11:57
0,2.000,0,76.001,21-04 19:11:58
0,71.996,0,73724.164,21-04 19:11:59
3.000,159.995,12.000,164874.987,21-04 19:12:00
1.000,138.007,4.000,141839.607,21-04 19:12:01
2.000,327.982,8.000,337929.477,21-04 19:12:02
4.000,451.004,16.000,436647.710,21-04 19:12:03
3.001,398.146,12.004,446439.667,21-04 19:12:04
2.999,332.907,11.997,385428.194,21-04 19:12:05
0,0,0,0,21-04 19:12:06
0,0,0,0,21-04 19:12:07
0,9.992,0,147.881,21-04 19:12:08
0,0,0,0,21-04 19:12:09
0,7.999,0,9215.075,21-04 19:12:10
4.004,346.318,16.015,403057.817,21-04 19:12:11
3.997,414.676,15.988,482439.320,21-04 19:12:12
3.000,439.983,12.000,513839.676,21-04 19:12:13
0,4.999,0,4607.184,21-04 19:12:14
0,0,0,0,21-04 19:12:15
0,0,0,0,21-04 19:12:16
0,0,0,0,21-04 19:12:17
0,2.002,0,32.028,21-04 19:12:18
3.996,334.699,15.986,384738.412,21-04 19:12:19
5.000,431.012,20.001,503310.138,21-04 19:12:20
3.003,407.357,12.011,475808.604,21-04 19:12:21
0,59.949,0,69828.728,21-04 19:12:22
0,2.000,0,72.000,21-04 19:12:23
0,0,0,0,21-04 19:12:24
0,0,0,0,21-04 19:12:25
0,0,0,0,21-04 19:12:26
2.998,219.829,11.991,256312.885,21-04 19:12:27
4.000,405.994,16.000,468308.990,21-04 19:12:28
3.000,432.006,12.000,504070.449,21-04 19:12:29
2.002,187.151,8.006,217263.373,21-04 19:12:30
0,0,0,0,21-04 19:12:31
0,0,0,0,21-04 19:12:32
0,7.000,0,119.997,21-04 19:12:33
0,0,0,0,21-04 19:12:34
2.000,122.000,8.000,142848.558,21-04 19:12:35
4.000,431.998,16.000,502525.704,21-04 19:12:36
4.000,445.988,16.000,521457.450,21-04 19:12:37
2.002,261.224,8.007,300866.099,21-04 19:12:38
0,0,0,0,21-04 19:12:39
0,0,0,0,21-04 19:12:40
0,0,0,0,21-04 19:12:41
0,0,0,0,21-04 19:12:42
1.000,68.001,4.000,71505.376,21-04 19:12:43
4.996,403.686,19.984,472464.656,21-04 19:12:44
3.000,400.984,12.000,467436.944,21-04 19:12:45
3.000,414.007,12.000,483336.150,21-04 19:12:46
0,0,0,0,21-04 19:12:47
0,2.000,0,75.997,21-04 19:12:48
0,0,0,0,21-04 19:12:49
0,0,0,0,21-04 19:12:50
0,24.000,0,27660.449,21-04 19:12:51
4.000,377.991,16.000,387306.820,21-04 19:12:52
4.000,392.002,16.000,448650.548,21-04 19:12:53
4.000,431.042,16.002,503601.345,21-04 19:12:54
1.000,130.990,4.000,152552.531,21-04 19:12:55
0,0,0,0,21-04 19:12:56
0,0,0,0,21-04 19:12:57
0,1.998,0,55.934,21-04 19:12:58
0,12.012,0,14874.949,21-04 19:12:59
4.001,378.055,16.002,442432.392,21-04 19:13:00
3.000,413.024,12.001,467907.105,21-04 19:13:01
5.000,464.005,20.000,495453.614,21-04 19:13:02
0,96.991,0,97086.873,21-04 19:13:03
0,6.005,0,88.078,21-04 19:13:04
0,0,0,0,21-04 19:13:05
727.138,0,95850.190,0,21-04 19:13:06
1205.018,0,153986.303,0,21-04 19:13:07
1126.981,155.997,143621.581,162945.256,21-04 19:13:08
1147.888,329.968,146301.776,347530.212,21-04 19:13:09
1415.045,59.002,180869.712,65426.066,21-04 19:13:10
1358.208,0,173466.280,0,21-04 19:13:11
1184.884,197.814,151157.571,212791.497,21-04 19:13:12
1214.144,166.020,155034.362,183585.744,21-04 19:13:13
1071.023,370.008,136838.938,401612.622,21-04 19:13:14
1252.990,336.997,160126.741,384136.979,21-04 19:13:15
1371.024,337.006,175235.065,391354.846,21-04 19:13:16
1161.979,139.997,148477.345,162557.093,21-04 19:13:17
1073.740,2.001,137182.597,96.066,21-04 19:13:18
1434.927,0,183542.716,0,21-04 19:13:19
1395.068,0,178312.636,0,21-04 19:13:20
1447.850,0,185068.845,0,21-04 19:13:21
1260.171,53.007,161173.920,62472.497,21-04 19:13:22
1125.944,338.983,143992.798,391956.397,21-04 19:13:23
1093.926,338.286,139894.385,389269.417,21-04 19:13:24
1262.973,374.992,161660.537,436982.640,21-04 19:13:25
1342.873,177.851,171631.992,206418.804,21-04 19:13:26
1489.703,0,190426.072,0,21-04 19:13:27
1465.320,2.000,187432.944,60.013,21-04 19:13:28
1495.055,0,191239.016,0,21-04 19:13:29
1463.971,0,187132.348,0,21-04 19:13:30
1341.775,66.038,171747.225,77356.692,21-04 19:13:31
1276.181,321.793,162967.404,375566.953,21-04 19:13:32
1046.063,348.021,133896.086,402016.279,21-04 19:13:33
1177.911,373.972,150772.604,424171.941,21-04 19:13:34
1325.056,224.010,169223.200,248586.577,21-04 19:13:35
1493.058,0,191111.370,0,21-04 19:13:36
1459.886,0,186609.434,0,21-04 19:13:37
1493.991,2.000,191230.894,52.000,21-04 19:13:38
1437.062,4.000,183687.974,68.003,21-04 19:13:39
1319.980,100.999,168957.493,113430.317,21-04 19:13:40
1323.043,292.010,169221.547,340723.169,21-04 19:13:41
1009.008,343.003,129024.964,391938.930,21-04 19:13:42
1206.981,409.994,154237.602,431577.289,21-04 19:13:43
1242.055,236.010,158983.026,258411.420,21-04 19:13:44
1505.930,0,192503.018,0,21-04 19:13:45
1445.072,0,184841.187,0,21-04 19:13:46
1542.265,0,197409.895,0,21-04 19:13:47
1437.738,1.998,183774.710,43.961,21-04 19:13:48
1377.001,183.000,176256.109,201656.125,21-04 19:13:49
1300.993,335.998,166271.042,380037.811,21-04 19:13:50
913.027,369.011,116867.450,421644.449,21-04 19:13:51
1106.968,326.990,141691.858,377068.977,21-04 19:13:52
1411.069,133.006,180488.812,151651.404,21-04 19:13:53
1449.930,0,185463.049,0,21-04 19:13:54
1411.182,0,180503.184,0,21-04 19:13:55
1422.822,0,181993.275,0,21-04 19:13:56
1474.975,0,188540.841,0,21-04 19:13:57
1289.026,99.002,164995.349,110170.236,21-04 19:13:58
1188.035,336.010,151812.433,389035.361,21-04 19:13:59
1242.958,309.990,159098.635,356435.980,21-04 19:14:00
1186.037,337.011,151812.776,393228.370,21-04 19:14:01
1364.952,230.992,174457.884,266742.649,21-04 19:14:02
1488.006,2.000,190464.725,72.000,21-04 19:14:03
1457.004,3.000,186240.575,64.000,21-04 19:14:04
1525.953,0,195322.002,0,21-04 19:14:05
1267.002,0,161920.300,0,21-04 19:14:06
1081.055,68.003,138247.050,79364.047,21-04 19:14:07
989.978,291.994,126717.203,337952.541,21-04 19:14:08
1256.030,387.009,160643.895,438538.632,21-04 19:14:09
1195.000,334.000,152703.945,380671.863,21-04 19:14:10
1299.980,262.996,166397.457,295419.486,21-04 19:14:11
1334.032,0,170628.128,0,21-04 19:14:12
1436.942,2.000,183800.564,63.997,21-04 19:14:13
1456.003,4.000,186240.327,64.000,21-04 19:14:14
1508.102,0,192909.028,0,21-04 19:14:15
1369.915,25.998,175349.071,28526.222,21-04 19:14:16
1230.118,267.026,157199.055,307373.437,21-04 19:14:17
1040.964,287.990,133115.420,325200.811,21-04 19:14:18
1099.912,296.246,140788.710,329260.948,21-04 19:14:19
1119.000,426.619,143231.950,445741.505,21-04 19:14:20
1274.031,93.002,162947.908,99842.395,21-04 19:14:21
1253.992,0,160383.021,0,21-04 19:14:22
1075.040,2.000,137605.112,60.002,21-04 19:14:23
1301.975,4.000,166652.774,67.999,21-04 19:14:24
1335.968,0,170875.855,0,21-04 19:14:25
463.012,212.006,59073.579,228946.120,21-04 19:14:26
0,513.992,0,585386.417,21-04 19:14:27
3.000,323.010,2040.065,370219.817,21-04 19:14:28
4.999,2.000,2047.598,543.893,21-04 19:14:29
0,0,0,0,21-04 19:14:30
