"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out16/dstat_out_wf.csv -D vdb",,,,"Date:","18 Apr 2024 21:53:21 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,18-04 21:53:21
0,3.996,0,99.906,18-04 21:53:22
101.993,0,6143.549,0,18-04 21:53:23
160.011,0,5988.426,0,18-04 21:53:24
0,0,0,0,18-04 21:53:25
0,0,0,0,18-04 21:53:26
0,0,0,0,18-04 21:53:27
0,13.000,0,604.013,18-04 21:53:28
0,0,0,0,18-04 21:53:29
0,0,0,0,18-04 21:53:30
0,0,0,0,18-04 21:53:31
0,0,0,0,18-04 21:53:32
0,0,0,0,18-04 21:53:33
0,6.000,0,47.998,18-04 21:53:34
0,0,0,0,18-04 21:53:35
0,0,0,0,18-04 21:53:36
0,0,0,0,18-04 21:53:37
0,0,0,0,18-04 21:53:38
0,54.999,0,715.993,18-04 21:53:39
0,0,0,0,18-04 21:53:40
0,0,0,0,18-04 21:53:41
0,0,0,0,18-04 21:53:42
0,0,0,0,18-04 21:53:43
0,0,0,0,18-04 21:53:44
0,0,0,0,18-04 21:53:45
0,0,0,0,18-04 21:53:46
0,0,0,0,18-04 21:53:47
0,0,0,0,18-04 21:53:48
0,0,0,0,18-04 21:53:49
0,0,0,0,18-04 21:53:50
0,3.000,0,11.999,18-04 21:53:51
0,0,0,0,18-04 21:53:52
0,0,0,0,18-04 21:53:53
0,0,0,0,18-04 21:53:54
0,0,0,0,18-04 21:53:55
0,0,0,0,18-04 21:53:56
0,0,0,0,18-04 21:53:57
0,0,0,0,18-04 21:53:58
0,0,0,0,18-04 21:53:59
0,0,0,0,18-04 21:54:00
0,0,0,0,18-04 21:54:01
0.999,0,3.996,0,18-04 21:54:02
633.006,0,79596.783,0,18-04 21:54:03
826.782,1.001,104931.295,4.004,18-04 21:54:04
540.999,0,68735.849,0,18-04 21:54:05
0,0,0,0,18-04 21:54:06
0,0,0,0,18-04 21:54:07
0,3.000,0,163.998,18-04 21:54:08
0,0,0,0,18-04 21:54:09
0,0,0,0,18-04 21:54:10
1.000,0,4.000,0,18-04 21:54:11
0,0,0,0,18-04 21:54:12
0,0,0,0,18-04 21:54:13
0,0,0,0,18-04 21:54:14
0,0,0,0,18-04 21:54:15
0,3.000,0,116.001,18-04 21:54:16
0,0,0,0,18-04 21:54:17
0,0,0,0,18-04 21:54:18
422.006,17.000,53508.755,13704.193,18-04 21:54:19
82.000,432.000,10496.008,422684.327,18-04 21:54:20
0,27.000,0,6188.051,18-04 21:54:21
882.996,0,113023.441,0,18-04 21:54:22
371.006,0,47488.724,0,18-04 21:54:23
249.986,0,31998.248,0,18-04 21:54:24
0,206.009,0,199520.516,18-04 21:54:25
0,49.001,0,43148.563,18-04 21:54:26
0,0,0,0,18-04 21:54:27
0,0,0,0,18-04 21:54:28
0,0,0,0,18-04 21:54:29
0,0,0,0,18-04 21:54:30
0,0,0,0,18-04 21:54:31
0,9.000,0,107.995,18-04 21:54:32
0,0,0,0,18-04 21:54:33
0,0,0,0,18-04 21:54:34
0,0,0,0,18-04 21:54:35
2.000,274.994,8.000,198404.009,18-04 21:54:36
666.007,23.000,85120.939,296.003,18-04 21:54:37
570.413,0,73012.848,0,18-04 21:54:38
263.232,0,33565.547,0,18-04 21:54:39
248.033,0,31748.286,0,18-04 21:54:40
3.000,331.961,383.955,210991.045,18-04 21:54:41
224.796,523.524,28773.825,378655.549,18-04 21:54:42
22.022,282.277,2818.771,190523.266,18-04 21:54:43
0,0,0,0,18-04 21:54:44
0,0,0,0,18-04 21:54:45
0,0,0,0,18-04 21:54:46
0,3.000,0,112.010,18-04 21:54:47
0,9.000,0,83.999,18-04 21:54:48
0,0,0,0,18-04 21:54:49
0,0,0,0,18-04 21:54:50
0,0,0,0,18-04 21:54:51
0,8.001,0,112.017,18-04 21:54:52
135.977,0,17405.016,0,18-04 21:54:53
114.020,0,14594.579,0,18-04 21:54:54
247.998,0,31743.776,0,18-04 21:54:55
242.002,0,30976.228,0,18-04 21:54:56
75.999,3.000,9599.876,107.999,18-04 21:54:57
434.024,295.017,55431.126,179254.108,18-04 21:54:58
172.000,190.000,22016.005,162884.040,18-04 21:54:59
75.998,0,9727.686,0,18-04 21:55:00
0,0,0,0,18-04 21:55:01
302.999,13.000,38655.867,211.999,18-04 21:55:02
198.010,30.001,25345.223,22305.076,18-04 21:55:03
0,600.993,0,449974.890,18-04 21:55:04
0,214.991,0,184652.146,18-04 21:55:05
0,0,0,0,18-04 21:55:06
0,24.000,0,211.999,18-04 21:55:07
0,0,0,0,18-04 21:55:08
0,0,0,0,18-04 21:55:09
0,0,0,0,18-04 21:55:10
59.942,0,7672.518,0,18-04 21:55:11
188.184,6.006,24087.499,112.109,18-04 21:55:12
250.002,0,32000.231,0,18-04 21:55:13
0,0,0,0,18-04 21:55:14
425.997,0,54527.594,0,18-04 21:55:15
323.000,0,41215.970,0,18-04 21:55:16
