"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out23/dstat_out_upload.csv -D vdb",,,,"Date:","19 Apr 2024 04:15:42 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,19-04 04:15:42
0,1.998,0,7.992,19-04 04:15:43
0,0,0,0,19-04 04:15:44
0,0,0,0,19-04 04:15:45
0,0,0,0,19-04 04:15:46
0,4.001,0,248.074,19-04 04:15:47
0,151.954,0,145784.031,19-04 04:15:48
0,190.994,0,192765.528,19-04 04:15:49
0,0,0,0,19-04 04:15:50
0,0,0,0,19-04 04:15:51
0,4.001,0,68.022,19-04 04:15:52
0,92.970,0,1475.530,19-04 04:15:53
0,0,0,0,19-04 04:15:54
0,252.000,0,253951.779,19-04 04:15:55
0,96.028,0,98332.215,19-04 04:15:56
0,344.900,0,348123.448,19-04 04:15:57
0,0,0,0,19-04 04:15:58
1.000,339.100,4.001,345253.498,19-04 04:15:59
0,489.868,0,496441.730,19-04 04:16:00
0,532.150,0,544557.167,19-04 04:16:01
0,3.999,0,75.979,19-04 04:16:02
0,0,0,0,19-04 04:16:03
0,0,0,0,19-04 04:16:04
0,0,0,0,19-04 04:16:05
0,0,0,0,19-04 04:16:06
0,162.005,0,163184.568,19-04 04:16:07
0,172.050,0,172782.662,19-04 04:16:08
0,291.923,0,286152.707,19-04 04:16:09
0,48.998,0,49642.098,19-04 04:16:10
1.000,318.011,4.000,324975.402,19-04 04:16:11
0,570.007,0,579607.625,19-04 04:16:12
0,517.130,0,521930.874,19-04 04:16:13
0,32.989,0,32756.704,19-04 04:16:14
0,0,0,0,19-04 04:16:15
0,0,0,0,19-04 04:16:16
0,5.998,0,63.980,19-04 04:16:17
0,55.003,0,55830.657,19-04 04:16:18
0,411.972,0,419811.719,19-04 04:16:19
0,0,0,0,19-04 04:16:20
0,0,0,0,19-04 04:16:21
0,9.003,0,1060.331,19-04 04:16:22
0,321.913,0,318550.000,19-04 04:16:23
0,109.999,0,110591.330,19-04 04:16:24
0,575.977,0,588776.034,19-04 04:16:25
0,487.039,0,497703.502,19-04 04:16:26
0,74.994,0,71754.083,19-04 04:16:27
0,0,0,0,19-04 04:16:28
0,0,0,0,19-04 04:16:29
0,0,0,0,19-04 04:16:30
0,0,0,0,19-04 04:16:31
0,317.004,0,319536.219,19-04 04:16:32
0,0,0,0,19-04 04:16:33
0,312.997,0,319484.726,19-04 04:16:34
0,61.020,0,61460.384,19-04 04:16:35
0,481.896,0,492438.194,19-04 04:16:36
0,521.084,0,531542.160,19-04 04:16:37
0,176.960,0,173157.173,19-04 04:16:38
0,0,0,0,19-04 04:16:39
0,0,0,0,19-04 04:16:40
0,0,0,0,19-04 04:16:41
0,3.000,0,20.000,19-04 04:16:42
0,322.093,0,327774.513,19-04 04:16:43
0,0,0,0,19-04 04:16:44
0,337.004,0,344067.954,19-04 04:16:45
0,0,0,0,19-04 04:16:46
0,451.024,0,456728.284,19-04 04:16:47
0,575.982,0,589805.606,19-04 04:16:48
0,218.993,0,221269.072,19-04 04:16:49
0,0,0,0,19-04 04:16:50
0,0,0,0,19-04 04:16:51
0,4.000,0,19.999,19-04 04:16:52
0,0,0,0,19-04 04:16:53
0,0,0,0,19-04 04:16:54
0,117.007,0,119815.523,19-04 04:16:55
0,226.987,0,232434.824,19-04 04:16:56
0,228.083,0,232580.287,19-04 04:16:57
0,548.843,0,558943.736,19-04 04:16:58
0,483.961,0,482373.048,19-04 04:16:59
0,0,0,0,19-04 04:17:00
0,0,0,0,19-04 04:17:01
0,3.001,0,68.021,19-04 04:17:02
0,0,0,0,19-04 04:17:03
389.121,13.004,52584.352,7246.253,19-04 04:17:04
703.004,304.002,89984.527,307201.801,19-04 04:17:05
1290.549,88.969,165062.327,90336.436,19-04 04:17:06
1184.005,41.000,151424.587,31812.123,19-04 04:17:07
745.075,391.039,95369.553,381606.225,19-04 04:17:08
1289.307,113.027,164223.165,115099.450,19-04 04:17:09
1292.532,0,161705.489,0,19-04 04:17:10
571.025,100.004,71491.164,92316.085,19-04 04:17:11
2.000,526.994,255.997,536058.259,19-04 04:17:12
